"date","obs_chl_ugl","mean","min","max","ens_1","ens_2","ens_3","ens_4","ens_5","ens_6","ens_7","ens_8","ens_9","ens_10","ens_11","ens_12","ens_13","ens_14","ens_15","ens_16","ens_17","ens_18","ens_19","ens_20","ens_21","ens_22","ens_23","ens_24","ens_25","Past","Future","y"
2021-05-29,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,40.4310779404187,2021-05-26,2021-06-02,55
2021-05-30,30.993488695588,22.4500726861922,18.9423895498366,25.203061763278,24.9431373867649,24.4960300649852,22.3444839798466,21.7714157846513,20.8855050565952,24.4242448509344,22.7606596447409,22.7024631116287,18.9423895498366,24.1651818622866,20.9066917957295,22.9855393376603,22.3436171179626,25.1330362154588,25.203061763278,25.0999212103928,22.0425489632549,21.9844487636224,22.4461958084274,23.3095232411657,22.1690952073006,19.3152632480664,20.2762830671283,19.8355201705423,20.7655599525449,2021-05-26,2021-06-02,55
2021-05-31,28.0193490394916,20.6511461540323,15.3536985811726,24.5920272183646,24.3752010590061,20.355677129826,22.5633968243528,20.3629485245298,23.3791226338145,15.3536985811726,19.2633176354456,20.3729462596778,21.7136280734995,19.9520911379872,20.0183734035632,23.8980081128906,22.4313983005319,19.6722577399651,20.4337281340606,22.6241230791933,15.9226852555439,23.0788684048122,24.5920272183646,18.899127818679,20.7776990003203,16.1583687050796,20.272871730981,21.3850895224613,18.4219995650502,2021-05-26,2021-06-02,55
2021-06-01,33.7676848393783,27.3736176189942,22.0601266140788,35.8027178745781,26.8251765517419,23.8333801371925,26.8556570964808,26.3262070363021,28.9780163511639,29.886005616449,33.1440030358456,30.2374657693829,25.7160902212828,26.5171795759461,33.4350231485642,22.9115070314672,26.7618691295059,35.8027178745781,25.8304718566136,22.9012474014267,28.204095454736,22.6310864568101,22.0601266140788,26.4122996236064,22.9198803994542,25.5234995671276,31.7173810245479,34.2693515167753,24.6407019837759,2021-05-26,2021-06-02,55
2021-06-02,30.8572646942161,24.7903505180162,17.4616453647051,32.2505836554023,22.9427857517966,25.9132831079896,20.3144590520444,24.7255883191322,20.3005046103188,21.2930347131397,24.2916993632405,24.4284148330116,28.3191974865488,23.0677773828957,27.2443522905718,17.4616453647051,25.9577544231511,28.4450991260004,24.5597069795927,24.1939960898549,23.0813661964834,25.4358697026547,28.3602055795933,28.8457579551029,25.8214958725697,22.639997096595,32.2505836554023,29.0320640624051,20.8321239356055,2021-05-26,2021-06-02,55
2021-06-03,27.9791497569808,23.0515299830993,14.1250568297946,35.4030017079503,23.3510591551806,14.1250568297946,14.1920433701164,18.2300153162179,22.4889262164311,19.5005666029094,28.4633786022929,32.7455832202602,26.8693285785869,28.6252429826314,26.6284359266757,27.7909152163788,34.6321578270336,18.8531530077374,16.3331893680549,35.4030017079503,19.4489633628523,15.8256831050804,17.0627570832584,26.0634600334554,19.6209370269905,20.3238563821747,20.7866758247552,26.8907378533363,22.0331249773271,2021-05-26,2021-06-02,55
2021-06-04,31.476247917679,36.2349836619917,25.9254016037055,46.8031925426278,41.3906955317997,36.8634334700772,42.956288152526,41.0324338458262,39.320858381395,40.477590584087,25.9254016037055,35.7639726087841,34.1862865004138,27.51339013066,37.4046847863074,39.8900210053681,39.6325831713547,32.4233122220155,38.409307621312,38.6345773977403,46.8031925426278,30.0032402785573,40.3060237008323,34.4324997167523,37.786650309736,29.9220572470956,31.3661940746453,27.5696588900072,35.8602377761653,2021-05-26,2021-06-02,55
2021-06-05,30.0081109118586,36.9349062440967,27.1879247000671,49.0453522572593,36.8424845364311,33.866307228431,30.0586312284041,39.4100679726567,41.4050277116598,33.7372476252909,44.5457880434123,27.1879247000671,40.0650691386414,40.6003408994241,30.1311594233452,39.2068868782142,39.9002297903273,43.0235605224757,37.9227958838199,29.8595958800641,32.0492282724488,32.3471828618283,41.9576922798997,31.6875561588755,28.0716156665853,38.7363697703626,41.0243231847889,49.0453522572593,40.6902181877037,2021-05-26,2021-06-02,55
2021-06-06,28.5564688914351,39.2317287986578,23.7908060488,55.498064206254,39.766955174651,40.9759929739119,33.3250036896912,55.498064206254,34.3007294056243,40.7245489405605,45.2914944041784,28.8063587138782,46.6544742165033,42.0020616415961,38.7627211960838,43.1277558029764,36.4861214551721,23.7908060488,44.5862131363639,36.5977805140794,50.7020019650795,33.7407233807677,44.686313071787,43.8248515029886,39.49595557367,31.6950226292127,41.1627139491415,30.3787531474687,34.4098032260054,2021-05-26,2021-06-02,55
2021-06-07,32.803009354393,30.3577064486365,13.8334298832796,48.1257517012014,25.6390079638538,41.0421760297134,18.7335147004285,24.6034891776436,20.696617634972,34.3988991856909,35.2272771483362,44.9523364788708,25.5164481318275,44.2417259429801,35.2362219211365,33.0070340061802,37.4579663059444,23.6206250259388,29.6357513697788,26.130419627757,48.1257517012014,25.0546204548975,31.9658920628518,35.1964462940559,13.8334298832796,36.2697699963617,16.399050007658,34.4910709198451,17.4671192447099,2021-05-26,2021-06-02,55
